param level:=0; 
param p:= 5; 
param uba:= 2; 
param halfn:= 11; 
param: i:
       Mset:=
      1 0
      2 0
      3 0
      4 1
      5 1
      6 2
      7 2
      8 2
      9 1
      10 1
      11 1; 
param T:  1 2 3 4 5 6 7 8 9 10 11:=
        1 2 0 4 0 0 4 4 1 3 2 0
        2 0 2 0 4 0 0 4 4 1 3 2
        3 2 0 2 0 4 0 0 4 4 1 3
        4 3 2 0 2 0 4 0 0 4 4 1
        5 1 3 2 0 2 0 4 0 0 4 4
        6 4 1 3 2 0 2 0 4 0 0 4
        7 4 4 1 3 2 0 2 0 4 0 0
        8 0 4 4 1 3 2 0 2 0 4 0
        9 0 0 4 4 1 3 2 0 2 0 4
        10 4 0 0 4 4 1 3 2 0 2 0
        11 0 4 0 0 4 4 1 3 2 0 2; 
param Q1:  1 2 3 4 5 6 7 8 9 10 11:=
        1 0 0 0 0 0 0 0 0 0 0 0
        2 3 3 3 3 2 0 4 0 3 3 0
        3 1 3 3 3 2 4 1 1 0 3 0
        4 1 1 3 3 2 4 0 3 1 0 0
        5 1 2 1 1 0 2 3 0 1 4 0
        6 3 1 2 2 4 1 2 4 4 0 0
        7 3 3 1 0 4 4 0 2 2 2 0
        8 4 4 3 1 0 2 1 3 3 3 0
        9 1 2 4 3 0 2 3 3 3 3 0
        10 4 4 1 4 2 2 3 0 3 3 0
        11 4 0 0 1 3 4 3 0 0 3 0; 
param R1:  1 2 3 4 5 6 7 8 9 10 11:=
        1 1 0 0 0 0 0 0 0 0 0 0
        2 0 1 0 0 0 0 0 0 0 0 0
        3 0 0 1 0 0 0 0 0 0 0 0
        4 0 0 0 1 0 0 0 0 0 0 0
        5 0 0 0 0 1 0 0 0 0 0 0
        6 0 0 0 0 0 1 0 0 0 0 0
        7 0 0 0 0 0 0 1 0 0 0 0
        8 0 0 0 0 0 0 0 1 0 0 0
        9 0 0 0 0 0 0 0 0 1 0 0
        10 0 0 0 0 0 0 0 0 0 1 0
        11 4 4 4 4 4 4 4 4 4 4 5; 
param Q2:  1 2 3 4 5 6 7 8 9 10 11:=
        1 1 0 0 0 0 0 0 0 0 0 0
        2 1 5 0 0 0 0 0 0 0 0 0
        3 1 0 5 0 0 0 0 0 0 0 0
        4 1 0 0 5 0 0 0 0 0 0 0
        5 1 0 0 0 5 0 0 0 0 0 0
        6 1 0 0 0 0 5 0 0 0 0 0
        7 1 0 0 0 0 0 5 0 0 0 0
        8 1 0 0 0 0 0 0 5 0 0 0
        9 1 0 0 0 0 0 0 0 5 0 0
        10 1 0 0 0 0 0 0 0 0 5 0
        11 1 0 0 0 0 0 0 0 0 0 5; 
param J:  1 2 3 4 5 6 7 8 9 10 11:=
        1 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0
        2 -3.0 -3.0 -3.0 -3.0 -2.0 -0.0 -4.0 -0.0 -3.0 -3.0 -0.0
        3 -1.0 -3.0 -3.0 -3.0 -2.0 -4.0 -1.0 -1.0 -0.0 -3.0 -0.0
        4 -1.0 -1.0 -3.0 -3.0 -2.0 -4.0 -0.0 -3.0 -1.0 -0.0 -0.0
        5 -1.0 -2.0 -1.0 -1.0 -0.0 -2.0 -3.0 -0.0 -1.0 -4.0 -0.0
        6 -3.0 -1.0 -2.0 -2.0 -4.0 -1.0 -2.0 -4.0 -4.0 -0.0 -0.0
        7 -3.0 -3.0 -1.0 -0.0 -4.0 -4.0 -0.0 -2.0 -2.0 -2.0 -0.0
        8 -4.0 -4.0 -3.0 -1.0 -0.0 -2.0 -1.0 -3.0 -3.0 -3.0 -0.0
        9 -1.0 -2.0 -4.0 -3.0 -0.0 -2.0 -3.0 -3.0 -3.0 -3.0 -0.0
        10 -4.0 -4.0 -1.0 -4.0 -2.0 -2.0 -3.0 -0.0 -3.0 -3.0 -0.0
        11 -4.0 -0.0 -0.0 -1.0 -3.0 -4.0 -3.0 -0.0 -0.0 -3.0 -0.0; 
param H:  1 2 3 4 5 6 7 8 9 10 11:=
        1 1 0 0 0 0 0 0 0 0 0 0
        2 1 5 0 0 0 0 0 0 0 0 0
        3 1 0 5 0 0 0 0 0 0 0 0
        4 1 0 0 5 0 0 0 0 0 0 0
        5 1 0 0 0 5 0 0 0 0 0 0
        6 1 0 0 0 0 5 0 0 0 0 0
        7 1 0 0 0 0 0 5 0 0 0 0
        8 1 0 0 0 0 0 0 5 0 0 0
        9 1 0 0 0 0 0 0 0 5 0 0
        10 1 0 0 0 0 0 0 0 0 5 0
        11 1 0 0 0 0 0 0 0 0 0 5;
